classifier_name,dataset_name,accuracy
InceptionTime,SonyAIBORobotSurface1,0.8669
InceptionTime,SonyAIBORobotSurface2,0.9591
InceptionTime,StarLightCurves,0.9798
InceptionTime,Strawberry,0.9838
InceptionTime,SwedishLeaf,0.9696
InceptionTime,Symbols,0.9819
InceptionTime,SyntheticControl,0.9967
InceptionTime,ToeSegmentation1,0.9737
InceptionTime,ToeSegmentation2,0.9538
InceptionTime,Trace,1
InceptionTime,TwoLeadECG,0.9956
InceptionTime,TwoPatterns,1
InceptionTime,UMD,0.9861
InceptionTime,UWaveGestureLibraryAll,0.952
InceptionTime,UWaveGestureLibraryX,0.8219
InceptionTime,UWaveGestureLibraryY,0.7669
InceptionTime,UWaveGestureLibraryZ,0.761
InceptionTime,Wafer,0.9987
InceptionTime,Wine,0.6667
InceptionTime,WordSynonyms,0.7602
InceptionTime,Worms,0.7922
InceptionTime,WormsTwoClass,0.7792
InceptionTime,Yoga,0.9077
LITE,ACSF1,0.898
LITE,Adiac,0.8102
LITE,AllGestureWiimoteX,0.7423
LITE,AllGestureWiimoteY,0.7717
LITE,AllGestureWiimoteZ,0.7317
LITE,ArrowHead,0.8217
LITE,BME,0.98
LITE,Beef,0.72
LITE,BeetleFly,0.87
LITE,BirdChicken,0.89
LITE,CBF,0.9976
LITE,Car,0.9233
LITE,Chinatown,0.9802
LITE,ChlorineConcentration,0.8427
LITE,CinCECGTorso,0.7825
LITE,Coffee,1
LITE,Computers,0.7952
LITE,CricketX,0.8087
LITE,CricketY,0.8328
LITE,CricketZ,0.8436
LITE,Crop,0.7152
LITE,DiatomSizeReduction,0.9529
LITE,DistalPhalanxOutlineAgeGroup,0.7237
LITE,DistalPhalanxOutlineCorrect,0.7522
LITE,DistalPhalanxTW,0.6835
LITE,DodgerLoopDay,0.54
LITE,DodgerLoopGame,0.8029
LITE,DodgerLoopWeekend,0.9681
LITE,ECG200,0.896
LITE,ECG5000,0.9401
LITE,ECGFiveDays,0.9977
LITE,EOGHorizontalSignal,0.5994
LITE,EOGVerticalSignal,0.3901
LITE,Earthquakes,0.7108
LITE,ElectricDevices,0.6789
LITE,EthanolLevel,0.6988
LITE,FaceAll,0.7914
LITE,FaceFour,0.9523
LITE,FacesUCR,0.9545
LITE,FiftyWords,0.7675
LITE,Fish,0.9806
LITE,FordA,0.9536
LITE,FordB,0.8442
LITE,FreezerRegularTrain,0.998
LITE,FreezerSmallTrain,0.9531
LITE,Fungi,0.9978
LITE,GestureMidAirD1,0.74
LITE,GestureMidAirD2,0.6738
LITE,GestureMidAirD3,0.3846
LITE,GesturePebbleZ1,0.9116
LITE,GesturePebbleZ2,0.8797
LITE,GunPoint,0.9973
LITE,GunPointAgeSpan,0.9918
LITE,GunPointMaleVersusFemale,0.9905
LITE,GunPointOldVersusYoung,0.9714
LITE,Ham,0.7219
LITE,HandOutlines,0.9373
LITE,Haptics,0.5299
LITE,Herring,0.6906
LITE,HouseTwenty,0.9815
LITE,InlineSkate,0.5433
LITE,InsectEPGRegularTrain,0.9952
LITE,InsectEPGSmallTrain,0.955
LITE,InsectWingbeatSound,0.6104
LITE,ItalyPowerDemand,0.9685
LITE,LargeKitchenAppliances,0.8816
LITE,Lightning2,0.7541
LITE,Lightning7,0.8274
LITE,Mallat,0.9476
LITE,Meat,0.9133
LITE,MedicalImages,0.7526
LITE,MelbournePedestrian,0.8986
LITE,MiddlePhalanxOutlineAgeGroup,0.5247
LITE,MiddlePhalanxOutlineCorrect,0.8268
LITE,MiddlePhalanxTW,0.5078
LITE,MixedShapesRegularTrain,0.9768
LITE,MixedShapesSmallTrain,0.9386
LITE,MoteStrain,0.8757
LITE,NonInvasiveFetalECGThorax1,0.9522
LITE,NonInvasiveFetalECGThorax2,0.9538
LITE,OSULeaf,0.9562
LITE,OliveOil,0.6933
LITE,PLAID,0.9065
LITE,PhalangesOutlinesCorrect,0.8217
LITE,Phoneme,0.3094
LITE,PickupGestureWiimoteZ,0.756
LITE,PigAirwayPressure,0.3471
LITE,PigArtPressure,0.9933
LITE,PigCVP,0.9356
LITE,Plane,1
LITE,PowerCons,0.9444
LITE,ProximalPhalanxOutlineAgeGroup,0.8371
LITE,ProximalPhalanxOutlineCorrect,0.9052
LITE,ProximalPhalanxTW,0.7815
LITE,RefrigerationDevices,0.4965
LITE,Rock,0.828
LITE,ScreenType,0.5659
LITE,SemgHandGenderCh2,0.8437
LITE,SemgHandMovementCh2,0.4787
LITE,SemgHandSubjectCh2,0.7676
LITE,ShakeGestureWiimoteZ,0.928
LITE,ShapeletSim,0.7378
